28	-104	-403
63	-57	-430
88	-57	-458
88	-96	-462
41	-198	-463
-33	-318	-472
-80	-426	-472
-82	-430	-480
-85	-430	-509
-85	-368	-528
-85	-287	-537
-104	-267	-540
-118	-267	-540
-123	-313	-536
-123	-396	-523
-117	-499	-498
-100	-534	-476
-86	-534	-452
-73	-468	-428
-64	-320	-394
-50	-170	-354
-34	-67	-305
-9	-14	-259
10	8	-238
19	44	-238
19	58	-243
5	58	-266
-19	49	-295
-50	-12	-323
-75	-82	-338
-92	-161	-338
-105	-195	-323
-115	-195	-282
-131	-192	-230
-150	-165	-181
-166	-165	-137
-177	-202	-105
-187	-283	-76
-215	-371	-43
-270	-388	-4
-341	-388	26
-406	-355	51
-454	-298	72
-477	-266	107
-488	-245	155
-490	-200	207
-500	-154	269
-528	-132	341
-568	-132	415
-620	-152	465
-675	-188	492
-731	-242	526
-779	-337	595
-831	-448	721
-902	-527	903
-972	-587	1141
-1016	-589	1421
-1041	-589	1709
-1066	-531	1955
-1070	-448	2108
-1070	-430	2160
-1050	-430	2164
-999	-457	2163
-996	-457	2132
-996	-445	2113
-1022	-375	2066
-1054	-248	2035
-1107	-99	2028
-1163	51	1961
-1163	140	1879
-1141	140	1708
-1039	114	1547
-764	69	1246
-550	-13	974
-351	-36	668
-281	-7	495
-196	3	355
-63	10	262
19	66	176
47	82	117
59	108	48
63	124	7
63	124	-32
62	138	-62
68	138	-83
71	130	-97
87	97	-97
98	76	-87
110	75	-61
113	52	-27
110	50	0
107	24	9
96	-7	9
67	-7	-5
-24	53	-36
-61	95	-36
-93	127	-15
-104	177	16
-109	234	37
-111	271	37
-102	275	37
