50	-174	-151
8	-174	-155
-32	-184	-155
-92	-205	-140
-155	-230	-118
-247	-220	-97
-330	-216	-82
-371	-154	-66
-371	-70	-44
-348	15	-17
-265	80	18
-160	101	38
-56	101	38
28	67	30
90	3	-10
136	-57	-58
182	-77	-96
228	-77	-109
279	-33	-109
335	44	-100
402	105	-77
467	120	-46
519	120	-1
533	97	69
533	75	161
502	60	277
436	60	410
362	63	556
294	71	710
219	69	866
132	55	1018
46	-14	1155
-37	-161	1273
-126	-357	1386
-244	-591	1503
-401	-865	1642
-626	-1188	1806
-921	-1552	2005
-1279	-1988	2245
-1612	-2442	2508
-1893	-2761	2758
-2116	-2761	2913
-2281	-2754	2978
-2386	-2487	2999
-2445	-2183	3040
-2488	-2014	3086
-2522	-1962	3117
-2587	-1922	3117
-2676	-1786	3045
-2758	-1509	2869
-2770	-1090	2607
-2740	-620	2294
-2701	-239	1958
-2577	-97	1639
-2381	-97	1321
-2155	-155	972
-1929	-287	607
-1721	-358	250
-1574	-358	-59
-1358	-302	-323
-1026	-133	-582
-714	146	-809
-498	454	-997
-453	733	-1109
-383	951	-1186
-269	1114	-1269
-160	1256	-1359
-60	1404	-1476
-50	1492	-1602
-22	1498	-1754
14	1498	-1928
80	1401	-2136
210	1271	-2367
363	1176	-2586
503	1130	-2759
628	1117	-2845
729	1079	-2845
818	1004	-2829
898	900	-2722
1006	827	-2574
1129	827	-2427
1289	840	-2295
1454	862	-2153
1626	862	-1956
1757	825	-1665
1826	751	-1292
1826	751	-889
1825	763	-502
1779	868	-140
1730	888	200
1618	888	515
1549	739	779
1510	448	986
1510	150	1165
1606	-141	1370
1682	-376	1612
1700	-528	1872
1700	-607	2137
1652	-682	2420
1560	-778	2719
1430	-875	3034
1236	-930	3340
968	-971	3609
634	-971	3728
233	-958	3728
-173	-843	3675
-502	-637	3460
-722	-430	3181
-847	-358	2858
-917	-358	2508
-958	-406	2137
-981	-538	1767
-987	-594	1410
-987	-594	1062
-962	-537	724
-872	-363	415
-706	-180	164
-474	-27	-11
-254	97	-123
-112	232	-193
14	377	-259
73	491	-327
121	555	-399
