-277	-55	-15
-261	-78	-54
-252	-98	-82
-252	-98	-103
-261	-60	-112
-289	11	-118
-305	108	-123
-305	165	-140
-291	173	-151
-258	173	-156
-202	141	-159
-135	135	-163
-84	135	-160
-55	161	-163
-44	195	-168
-42	201	-172
-40	208	-179
-23	203	-199
12	196	-231
69	181	-271
135	145	-317
198	76	-360
254	0	-397
310	-49	-405
367	-59	-405
426	-59	-387
483	-31	-349
541	-4	-312
591	-3	-277
625	-3	-236
641	-39	-187
649	-96	-131
651	-149	-68
651	-188	3
656	-218	85
657	-245	177
660	-271	280
662	-289	383
662	-300	478
652	-325	560
629	-376	636
595	-444	711
554	-502	791
522	-537	873
505	-557	956
499	-584	1039
493	-613	1119
475	-635	1195
436	-643	1263
375	-648	1323
300	-657	1375
218	-675	1419
139	-691	1457
57	-704	1489
-33	-710	1512
-131	-716	1523
-233	-724	1523
-318	-738	1511
-395	-759	1484
-467	-771	1454
-541	-771	1423
-611	-755	1392
-673	-722	1360
-719	-704	1327
-753	-696	1298
-775	-678	1264
-812	-637	1227
-864	-553	1173
-922	-473	1099
-983	-426	1008
-1047	-407	917
-1103	-370	833
-1164	-278	756
-1203	-101	661
-1247	76	562
-1266	184	456
-1263	212	358
-1259	225	265
-1210	249	179
-1138	336	107
-1069	518	27
-1013	742	-75
-966	919	-210
-932	991	-371
-910	991	-550
-892	998	-734
-875	998	-904
-875	1013	-1017
-899	1104	-1091
-892	1270	-1145
-876	1418	-1192
-796	1486	-1241
-674	1486	-1311
-596	1452	-1424
-594	1368	-1559
-566	1296	-1675
-512	1228	-1782
-380	1176	-1876
-237	1108	-1956
-143	1030	-2000
-71	957	-2007
16	898	-2007
104	861	-1985
182	841	-1938
239	834	-1870
290	827	-1791
344	793	-1709
415	723	-1636
504	616	-1581
607	489	-1542
715	363	-1507
810	266	-1457
878	219	-1381
927	215	-1263
964	215	-1101
990	234	-902
998	261	-687
1004	290	-481
1010	297	-306
1038	297	-170
1098	265	-72
1189	179	4
1285	68	73
1359	-32	153
1392	-112	252
1392	-174	373
1376	-219	516
1326	-246	666
1252	-265	807
1167	-306	917
1087	-368	995
1048	-455	1051
1048	-561	1096
1040	-669	1145
1036	-757	1211
1012	-802	1313
942	-802	1416
839	-781	1502
741	-732	1573
633	-659	1641
531	-576	1672
440	-474	1672
373	-417	1639
316	-417	1547
259	-434	1430
209	-495	1291
166	-558	1150
143	-569	1025
105	-569	947
50	-513	898
-13	-372	859
-78	-204	809
-138	-30	741
-200	127	648
-245	222	530
-279	241	402
-298	247	286
